ALFA ROMEO;;58;58;;;0;0;58;58
ASTON MARTIN;;4;4;;;0;0;4;4
AUDI;;2.148;2.148;;;0;0;2.148;2.148
BENTLEY;;0;0;;;0;0;0;0
BMW;;2.332;2.332;;;0;0;2.332;2.332
CHERY;;9;9;;;0;0;9;9
CITROEN;;1.684;1.684;95;670;765;95;2.354;2.449
DACIA;;3.555;3.555;;512;512;0;4.067;4.067
DS;;35;35;;;0;0;35;35
FERRARI;;4;4;;;0;0;4;4
FIAT;4.540;278;4.818;4.370;333;4.703;8.910;611;9.521
FORD;640;3.141;3.781;5.115;255;5.370;5.755;3.396;9.151
GEELY;;;0;;;0;0;0;0
HONDA;574;535;1.109;;;0;574;535;1.109
HYUNDAI;2.101;2.344;4.445;;163;163;2.101;2.507;4.608
INFINITI;;4;4;;;0;0;4;4
ISUZU;;;0;375;25;400;375;25;400
IVECO;;;0;;163;163;0;163;163
JAGUAR;;31;31;;;0;0;31;31
JEEP;;188;188;;;0;0;188;188
KARSAN;;;0;155;;155;155;0;155
KIA;;1.461;1.461;;324;324;0;1.785;1.785
LAMBORGHINI;;1;1;;;0;0;1;1
LANCIA;;0;0;;;0;0;0;0
LAND ROVER;;186;186;;;0;0;186;186
LEXUS;;7;7;;;0;0;7;7
MASERATI;;5;5;;;0;0;5;5
MAZDA;;157;157;;;0;0;157;157
MERCEDES-BENZ;;2.305;2.305;;671;671;0;2.976;2.976
MINI;;166;166;;;0;0;166;166
MITSUBISHI;;48;48;37;329;366;37;377;414
NISSAN;;2.684;2.684;;126;126;0;2.810;2.810
OPEL;;4.775;4.775;;;0;0;4.775;4.775
OTOKAR;;;0;;;0;0;0;0
PEUGEOT;;1.557;1.557;179;835;1.014;179;2.392;2.571
PORSCHE;;59;59;;;0;0;59;59
PROTON;;12;12;;0;0;0;12;12
RENAULT;7.297;3.336;10.633;;1.442;1.442;7.297;4.778;12.075
SEAT;;2.130;2.130;;;0;0;2.130;2.130
SKODA;;2.663;2.663;;;0;0;2.663;2.663
SMART;;13;13;;;0;0;13;13
SSANGYONG;;34;34;;19;19;0;53;53
SUBARU;;148;148;;;0;0;148;148
SUZUKI;;151;151;;;0;0;151;151
TATA;;;0;;;0;0;0;0
TOYOTA;3.236;836;4.072;;402;402;3.236;1.238;4.474
VOLKSWAGEN;;7.811;7.811;;2.674;2.674;0;10.485;10.485
VOLVO;;335;335;;;0;0;335;335
