ALFA ROMEO;;23;23;;;0;0;23;23
ASTON MARTIN;;1;1;;;0;0;1;1
AUDI;;2.179;2.179;;;0;0;2.179;2.179
BENTLEY;;2;2;;;0;0;2;2
BMW;;1.595;1.595;;;0;0;1.595;1.595
CITROEN;;550;550;;426;426;0;976;976
DACIA;;2.973;2.973;;255;255;0;3.228;3.228
DS;;22;22;;;0;0;22;22
FERRARI;;0;0;;;0;0;0;0
FIAT;8.236;113;8.349;3.186;311;3.497;11.422;424;11.846
FORD;375;1.634;2.009;5.160;427;5.587;5.535;2.061;7.596
HONDA;3.030;391;3.421;;;0;3.030;391;3.421
HYUNDAI;522;1.441;1.963;;161;161;522;1.602;2.124
INFINITI;;0;0;;;0;0;0;0
ISUZU;;;0;257;206;463;257;206;463
IVECO;;;0;;213;213;0;213;213
JAGUAR;;45;45;;;0;0;45;45
JEEP;;415;415;;;0;0;415;415
KARSAN;;;0;144;;144;144;0;144
KIA;;643;643;;235;235;0;878;878
LAMBORGHINI;;1;1;;;0;0;1;1
LAND ROVER;;227;227;;;0;0;227;227
LEXUS;;6;6;;;0;0;6;6
MASERATI;;11;11;;;0;0;11;11
MAZDA;;153;153;;;0;0;153;153
MERCEDES-BENZ;;835;835;;993;993;0;1.828;1.828
MINI;;291;291;;;0;0;291;291
MITSUBISHI;;143;143;15;434;449;15;577;592
NISSAN;;3.567;3.567;;484;484;0;4.051;4.051
OPEL;;1.974;1.974;;;0;0;1.974;1.974
PEUGEOT;;3.471;3.471;;1.057;1.057;0;4.528;4.528
PORSCHE;;37;37;;;0;0;37;37
RENAULT;7.236;3.388;10.624;;912;912;7.236;4.300;11.536
SEAT;;973;973;;;0;0;973;973
SKODA;;2.630;2.630;;;0;0;2.630;2.630
SMART;;5;5;;;0;0;5;5
SSANGYONG;;41;41;;36;36;0;77;77
SUBARU;;249;249;;;0;0;249;249
SUZUKI;;521;521;;;0;0;521;521
TOYOTA;2.911;237;3.148;;345;345;2.911;582;3.493
VOLKSWAGEN;;6.745;6.745;;1.606;1.606;0;8.351;8.351
VOLVO;;1.001;1.001;;;0;0;1.001;1.001
