ALFA ROMEO;;33;33;;;0;0;33;33
ASTON MARTIN;;2;2;;;0;0;2;2
AUDI;;905;905;;;0;0;905;905
BENTLEY;;1;1;;;0;0;1;1
BMW;;1.856;1.856;;;0;0;1.856;1.856
CHERY;;22;22;;;0;0;22;22
CITROEN;;1.221;1.221;100;477;577;100;1.698;1.798
DACIA;;2.680;2.680;;320;320;0;3.000;3.000
DS;;19;19;;;0;0;19;19
FERRARI;;0;0;;;0;0;0;0
FIAT;2.678;171;2.849;2.771;309;3.080;5.449;480;5.929
FORD;242;2.025;2.267;3.733;370;4.103;3.975;2.395;6.370
GEELY;;;0;;;0;0;0;0
HONDA;376;612;988;;;0;376;612;988
HYUNDAI;1.968;1.286;3.254;;153;153;1.968;1.439;3.407
INFINITI;;6;6;;;0;0;6;6
ISUZU;;;0;47;73;120;47;73;120
IVECO;;;0;;89;89;0;89;89
JAGUAR;;35;35;;;0;0;35;35
JEEP;;99;99;;;0;0;99;99
KARSAN;;;0;138;;138;138;0;138
KIA;;1.435;1.435;;211;211;0;1.646;1.646
LAMBORGHINI;;0;0;;;0;0;0;0
LANCIA;;0;0;;;0;0;0;0
LAND ROVER;;103;103;;;0;0;103;103
LEXUS;;4;4;;;0;0;4;4
MASERATI;;1;1;;;0;0;1;1
MAZDA;;127;127;;;0;0;127;127
MERCEDES-BENZ;;1.651;1.651;;253;253;0;1.904;1.904
MINI;;83;83;;;0;0;83;83
MITSUBISHI;;45;45;24;244;268;24;289;313
NISSAN;;1.212;1.212;;110;110;0;1.322;1.322
OPEL;;3.495;3.495;;;0;0;3.495;3.495
OTOKAR;;;0;;;0;0;0;0
PEUGEOT;;1.497;1.497;156;463;619;156;1.960;2.116
PORSCHE;;32;32;;;0;0;32;32
PROTON;;0;0;;0;0;0;0;0
RENAULT;2.006;3.507;5.513;;761;761;2.006;4.268;6.274
SEAT;;1.870;1.870;;;0;0;1.870;1.870
SKODA;;1.661;1.661;;;0;0;1.661;1.661
SMART;;5;5;;;0;0;5;5
SSANGYONG;;23;23;;10;10;0;33;33
SUBARU;;74;74;;;0;0;74;74
SUZUKI;;234;234;;;0;0;234;234
TATA;;;0;;;0;0;0;0
TOYOTA;2.141;754;2.895;;310;310;2.141;1.064;3.205
VOLKSWAGEN;;7.239;7.239;;1.845;1.845;0;9.084;9.084
VOLVO;;130;130;;;0;0;130;130
