ALFA ROMEO;;149;149;;;0;0;149;149
ASTON MARTIN;;2;2;;;0;0;2;2
AUDI;;1.455;1.455;;;0;0;1.455;1.455
BENTLEY;;;0;;;0;0;0;0
BMW;;2.080;2.080;;;0;0;2.080;2.080
CHERY;;12;12;;;0;0;12;12
CITROEN;;1.562;1.562;127;752;879;127;2.314;2.441
DACIA;;3.402;3.402;;380;380;0;3.782;3.782
DS;;42;42;;;0;0;42;42
FERRARI;;0;0;;;0;0;0;0
FIAT;3.932;336;4.268;3.517;615;4.132;7.449;951;8.400
FORD;764;3.347;4.111;5.349;298;5.647;6.113;3.645;9.758
GEELY;;;0;;;0;0;0;0
HONDA;1.030;1.077;2.107;;;0;1.030;1.077;2.107
HYUNDAI;1.778;2.651;4.429;;138;138;1.778;2.789;4.567
INFINITI;;0;0;;;0;0;0;0
ISUZU;;;0;245;90;335;245;90;335
IVECO;;;0;;173;173;0;173;173
JAGUAR;;34;34;;;0;0;34;34
JEEP;;204;204;;;0;0;204;204
KARSAN;;;0;177;;177;177;0;177
KIA;;1.080;1.080;;387;387;0;1.467;1.467
LAMBORGHINI;;;0;;;0;0;0;0
LANCIA;;0;0;;;0;0;0;0
LAND ROVER;;318;318;;;0;0;318;318
LEXUS;;6;6;;;0;0;6;6
MASERATI;;1;1;;;0;0;1;1
MAZDA;;114;114;;;0;0;114;114
MERCEDES-BENZ;;2.480;2.480;;925;925;0;3.405;3.405
MINI;;134;134;;;0;0;134;134
MITSUBISHI;;53;53;71;312;383;71;365;436
NISSAN;;2.989;2.989;;175;175;0;3.164;3.164
OPEL;;3.936;3.936;;;0;0;3.936;3.936
OTOKAR;;;0;;;0;0;0;0
PEUGEOT;;2.526;2.526;162;471;633;162;2.997;3.159
PORSCHE;;55;55;;;0;0;55;55
PROTON;;10;10;;0;0;0;10;10
RENAULT;6.280;4.030;10.310;;983;983;6.280;5.013;11.293
SEAT;;1.443;1.443;;;0;0;1.443;1.443
SKODA;;2.640;2.640;;;0;0;2.640;2.640
SMART;;16;16;;;0;0;16;16
SSANGYONG;;37;37;;16;16;0;53;53
SUBARU;;152;152;;;0;0;152;152
SUZUKI;;194;194;;;0;0;194;194
TATA;;;0;;;0;0;0;0
TOYOTA;2.161;955;3.116;;514;514;2.161;1.469;3.630
VOLKSWAGEN;;8.197;8.197;;3.096;3.096;0;11.293;11.293
VOLVO;;311;311;;;0;0;311;311
