ALFA ROMEO;;14;14;;;0;0;14;14
ASTON MARTIN;;1;1;;;0;0;1;1
AUDI;;840;840;;;0;0;840;840
BENTLEY;;;0;;;0;0;0;0
BMW;;760;760;;;0;0;760;760
CITROEN;;922;922;;470;470;0;1.392;1.392
DACIA;;2.343;2.343;;259;259;0;2.602;2.602
DS;;10;10;;;0;0;10;10
FERRARI;;2;2;;;0;0;2;2
FIAT;3.720;112;3.832;1.787;248;2.035;5.507;360;5.867
FORD;139;1.914;2.053;3.504;286;3.790;3.643;2.200;5.843
HONDA;2.041;402;2.443;;;0;2.041;402;2.443
HYUNDAI;1.107;1.382;2.489;;125;125;1.107;1.507;2.614
INFINITI;;0;0;;;0;0;0;0
ISUZU;;;0;68;55;123;68;55;123
IVECO;;;0;;137;137;0;137;137
JAGUAR;;6;6;;;0;0;6;6
JEEP;;140;140;;;0;0;140;140
KARSAN;;;0;92;;92;92;0;92
KIA;;795;795;;127;127;0;922;922
LAMBORGHINI;;;0;;;0;0;0;0
LAND ROVER;;67;67;;;0;0;67;67
LEXUS;;5;5;;;0;0;5;5
MASERATI;;3;3;;;0;0;3;3
MAZDA;;73;73;;;0;0;73;73
MERCEDES-BENZ;;1.251;1.251;;404;404;0;1.655;1.655
MINI;;103;103;;;0;0;103;103
MITSUBISHI;;14;14;12;303;315;12;317;329
NISSAN;;1.025;1.025;;79;79;0;1.104;1.104
OPEL;;2.102;2.102;;;0;0;2.102;2.102
PEUGEOT;;2.808;2.808;;621;621;0;3.429;3.429
PORSCHE;;49;49;;;0;0;49;49
RENAULT;4.774;1.711;6.485;;660;660;4.774;2.371;7.145
SEAT;;1.387;1.387;;;0;0;1.387;1.387
SKODA;;1.857;1.857;;;0;0;1.857;1.857
SMART;;6;6;;;0;0;6;6
SSANGYONG;;9;9;;47;47;0;56;56
SUBARU;;106;106;;;0;0;106;106
SUZUKI;;267;267;;;0;0;267;267
TOYOTA;2.827;193;3.020;;128;128;2.827;321;3.148
VOLKSWAGEN;;4.217;4.217;;1.298;1.298;0;5.515;5.515
VOLVO;;520;520;;;0;0;520;520
