ALFA ROMEO;;13;13;;;0;0;13;13
ASTON MARTIN;;1;1;;;0;0;1;1
AUDI;;1.552;1.552;;;0;0;1.552;1.552
BENTLEY;;0;0;;;0;0;0;0
BMW;;1.586;1.586;;;0;0;1.586;1.586
CHERY;;;0;;;0;0;0;0
CITROEN;;1.086;1.086;;706;706;0;1.792;1.792
DACIA;;3.600;3.600;;335;335;0;3.935;3.935
DS;;81;81;;;0;0;81;81
FERRARI;;2;2;;;0;0;2;2
FIAT;4.496;142;4.638;3.392;401;3.793;7.888;543;8.431
FORD;412;2.638;3.050;5.217;251;5.468;5.629;2.889;8.518
HONDA;2.710;469;3.179;;;0;2.710;469;3.179
HYUNDAI;2.013;2.376;4.389;;28;28;2.013;2.404;4.417
INFINITI;;2;2;;;0;0;2;2
ISUZU;;;0;123;19;142;123;19;142
IVECO;;;0;;161;161;0;161;161
JAGUAR;;24;24;;;0;0;24;24
JEEP;;255;255;;;0;0;255;255
KARSAN;;;0;100;;100;100;0;100
KIA;;872;872;;207;207;0;1.079;1.079
LAMBORGHINI;;0;0;;;0;0;0;0
LAND ROVER;;162;162;;;0;0;162;162
LEXUS;;8;8;;;0;0;8;8
MASERATI;;6;6;;;0;0;6;6
MAZDA;;135;135;;;0;0;135;135
MERCEDES-BENZ;;2.031;2.031;;1.121;1.121;0;3.152;3.152
MINI;;116;116;;;0;0;116;116
MITSUBISHI;;21;21;24;403;427;24;424;448
NISSAN;;2.908;2.908;;197;197;0;3.105;3.105
OPEL;;2.989;2.989;;;0;0;2.989;2.989
PEUGEOT;;3.038;3.038;;485;485;0;3.523;3.523
PORSCHE;;61;61;;;0;0;61;61
RENAULT;7.127;1.821;8.948;;1.087;1.087;7.127;2.908;10.035
SEAT;;1.226;1.226;;;0;0;1.226;1.226
SKODA;;2.911;2.911;;;0;0;2.911;2.911
SMART;;4;4;;;0;0;4;4
SSANGYONG;;38;38;;6;6;0;44;44
SUBARU;;224;224;;;0;0;224;224
SUZUKI;;323;323;;;0;0;323;323
TOYOTA;2.961;294;3.255;;310;310;2.961;604;3.565
VOLKSWAGEN;;6.561;6.561;;1.974;1.974;0;8.535;8.535
VOLVO;;503;503;;;0;0;503;503
