ALFA ROMEO,,32,32,,,0,0,32,32
ASTON MARTIN,,1,1,,,0,0,1,1
AUDI,,"1,625","1,625",,,0,0,"1,625","1,625"
BENTLEY,,0,0,,,0,0,0,0
BMW,,"1,270","1,270",,,0,0,"1,270","1,270"
CITROEN,,615,615,,406,406,0,"1,021","1,021"
DACIA,,"3,199","3,199",,337,337,0,"3,536","3,536"
DS,,20,20,,,0,0,20,20
FERRARI,,3,3,,,0,0,3,3
FIAT,"4,175",130,"4,305","3,183",249,"3,432","7,358",379,"7,737"
FORD,280,"2,506","2,786","4,301",247,"4,548","4,581","2,753","7,334"
HONDA,"1,881",646,"2,527",,,0,"1,881",646,"2,527"
HYUNDAI,"1,631","2,555","4,186",,215,215,"1,631","2,770","4,401"
INFINITI,,2,2,,,0,0,2,2
ISUZU,,,0,161,19,180,161,19,180
IVECO,,,0,,146,146,0,146,146
JAGUAR,,18,18,,,0,0,18,18
JEEP,,295,295,,,0,0,295,295
KARSAN,,,0,75,,75,75,0,75
KIA,,984,984,,322,322,0,"1,306","1,306"
LAMBORGHINI,,1,1,,,0,0,1,1
LAND ROVER,,129,129,,,0,0,129,129
LEXUS,,10,10,,,0,0,10,10
MASERATI,,6,6,,,0,0,6,6
MAZDA,,134,134,,,0,0,134,134
MERCEDES-BENZ,,"1,496","1,496",,"1,206","1,206",0,"2,702","2,702"
MINI,,121,121,,,0,0,121,121
MITSUBISHI,,58,58,24,669,693,24,727,751
NISSAN,,"2,021","2,021",,165,165,0,"2,186","2,186"
OPEL,,"3,476","3,476",,,0,0,"3,476","3,476"
PEUGEOT,,"2,875","2,875",,517,517,0,"3,392","3,392"
PORSCHE,,70,70,,,0,0,70,70
RENAULT,"7,417","2,617","10,034",,"1,127","1,127","7,417","3,744","11,161"
SEAT,,"1,341","1,341",,,0,0,"1,341","1,341"
SKODA,,"2,018","2,018",,,0,0,"2,018","2,018"
SMART,,4,4,,,0,0,4,4
SSANGYONG,,18,18,,8,8,0,26,26
SUBARU,,165,165,,,0,0,165,165
SUZUKI,,253,253,,,0,0,253,253
TOYOTA,"2,260",318,"2,578",,652,652,"2,260",970,"3,230"
VOLKSWAGEN,,"5,801","5,801",,"1,989","1,989",0,"7,790","7,790"
VOLVO,,631,631,,,0,0,631,631
