ALFA ROMEO;;75;75;;;0;0;75;75
ASTON MARTIN;;1;1;;;0;0;1;1
AUDI;;1.200;1.200;;;0;0;1.200;1.200
BENTLEY;;1;1;;;0;0;1;1
BMW;;2.042;2.042;;;0;0;2.042;2.042
CHERY;;23;23;;;0;0;23;23
CITROEN;;366;366;40;213;253;40;579;619
DACIA;;1.963;1.963;;228;228;0;2.191;2.191
DS;;34;34;;;0;0;34;34
FERRARI;;1;1;;;0;0;1;1
FIAT;2.518;247;2.765;2.363;374;2.737;4.881;621;5.502
FORD;315;2.733;3.048;3.703;189;3.892;4.018;2.922;6.940
GEELY;;;0;;;0;0;0;0
HONDA;510;669;1.179;;;0;510;669;1.179
HYUNDAI;1.485;1.499;2.984;;117;117;1.485;1.616;3.101
INFINITI;;0;0;;;0;0;0;0
ISUZU;;;0;204;34;238;204;34;238
IVECO;;;0;;131;131;0;131;131
JAGUAR;;25;25;;;0;0;25;25
JEEP;;161;161;;;0;0;161;161
KARSAN;;;0;159;;159;159;0;159
KIA;;574;574;;196;196;0;770;770
LAMBORGHINI;;1;1;;;0;0;1;1
LANCIA;;0;0;;;0;0;0;0
LAND ROVER;;131;131;;;0;0;131;131
LEXUS;;0;0;;;0;0;0;0
MASERATI;;6;6;;;0;0;6;6
MAZDA;;67;67;;;0;0;67;67
MERCEDES-BENZ;;1.701;1.701;;549;549;0;2.250;2.250
MINI;;74;74;;;0;0;74;74
MITSUBISHI;;71;71;35;151;186;35;222;257
NISSAN;;1.534;1.534;;0;0;0;1.534;1.534
OPEL;;2.521;2.521;;;0;0;2.521;2.521
OTOKAR;;;0;;;0;0;0;0
PEUGEOT;;1.730;1.730;91;284;375;91;2.014;2.105
PORSCHE;;40;40;;;0;0;40;40
PROTON;;7;7;;0;0;0;7;7
RENAULT;3.553;2.007;5.560;;602;602;3.553;2.609;6.162
SEAT;;853;853;;;0;0;853;853
SKODA;;1.435;1.435;;;0;0;1.435;1.435
SMART;;0;0;;;0;0;0;0
SSANGYONG;;23;23;;5;5;0;28;28
SUBARU;;112;112;;;0;0;112;112
SUZUKI;;0;0;;;0;0;0;0
TATA;;0;0;;0;0;0;0;0
TOYOTA;1.735;588;2.323;;178;178;1.735;766;2.501
VOLKSWAGEN;;5.763;5.763;;2.391;2.391;0;8.154;8.154
VOLVO;;194;194;;;0;0;194;194
